Suggesting model transformation repairs for rule-based languages using a contract-based testing approach, 2021-05-26, https://doi.org/10.1007/s10270-021-00891-0
TOAST: Automated Testing of Object Transformers in Dynamic Software Updates, 2022-01-31, https://doi.org/10.1007/s11390-021-1693-1
Data flow testing of feature-oriented programs, 2022-01-26, https://doi.org/10.1007/s13198-022-01636-y
Robust text line detection in historical documents: learning and evaluation methods, 2022-03-23, https://doi.org/10.1007/s10032-022-00395-7
